Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,12,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n  \n}\n\nmodule.exports = helloWorld;\n",javascript,tab
2,8065,"exercises/easy/ex1-hello-world.js",90,0,"p",javascript,content
3,8120,"exercises/easy/ex1-hello-world.js",91,0,"r",javascript,content
4,8298,"exercises/easy/ex1-hello-world.js",92,0,"i",javascript,content
5,8528,"exercises/easy/ex1-hello-world.js",93,0,"n",javascript,content
6,8734,"exercises/easy/ex1-hello-world.js",94,0,"t",javascript,content
7,9897,"exercises/easy/ex1-hello-world.js",90,5,"print",javascript,content
7,9897,"exercises/easy/ex1-hello-world.js",90,5,"print",javascript,content
8,9901,"exercises/easy/ex1-hello-world.js",95,0,"()",javascript,content
9,10622,"exercises/easy/ex1-hello-world.js",96,0,":",javascript,content
10,10838,"exercises/easy/ex1-hello-world.js",96,1,"",javascript,content
11,11549,"exercises/easy/ex1-hello-world.js",96,0,"""""",javascript,content
12,11894,"exercises/easy/ex1-hello-world.js",97,0,"H",javascript,content
13,12049,"exercises/easy/ex1-hello-world.js",98,0,"E",javascript,content
14,12269,"exercises/easy/ex1-hello-world.js",99,0,"L",javascript,content
15,12392,"exercises/easy/ex1-hello-world.js",100,0,"L",javascript,content
16,12661,"exercises/easy/ex1-hello-world.js",101,0,"O",javascript,content
17,12984,"exercises/easy/ex1-hello-world.js",101,1,"",javascript,content
18,13127,"exercises/easy/ex1-hello-world.js",100,1,"",javascript,content
19,13225,"exercises/easy/ex1-hello-world.js",99,1,"",javascript,content
20,13610,"exercises/easy/ex1-hello-world.js",98,1,"",javascript,content
21,13791,"exercises/easy/ex1-hello-world.js",98,0,"e",javascript,content
22,14350,"exercises/easy/ex1-hello-world.js",99,0,"l",javascript,content
23,14477,"exercises/easy/ex1-hello-world.js",100,0,"l",javascript,content
24,14612,"exercises/easy/ex1-hello-world.js",101,0,"o",javascript,content
25,14762,"exercises/easy/ex1-hello-world.js",102,0," ",javascript,content
26,14966,"exercises/easy/ex1-hello-world.js",103,0,"W",javascript,content
27,15178,"exercises/easy/ex1-hello-world.js",104,0,"o",javascript,content
28,15397,"exercises/easy/ex1-hello-world.js",105,0,"l",javascript,content
29,15484,"exercises/easy/ex1-hello-world.js",106,0,"r",javascript,content
30,15712,"exercises/easy/ex1-hello-world.js",107,0,"d",javascript,content
31,16189,"exercises/easy/ex1-hello-world.js",107,1,"",javascript,content
32,16315,"exercises/easy/ex1-hello-world.js",106,1,"",javascript,content
33,16431,"exercises/easy/ex1-hello-world.js",105,1,"",javascript,content
34,16523,"exercises/easy/ex1-hello-world.js",105,0,"r",javascript,content
35,16727,"exercises/easy/ex1-hello-world.js",106,0,"l",javascript,content
36,16858,"exercises/easy/ex1-hello-world.js",107,0,"d",javascript,content
37,17740,"exercises/easy/ex1-hello-world.js",108,0,"!",javascript,content
38,22497,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
39,29903,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n}\n\nmodule.exports = screamName;\n",javascript,tab
40,156472,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
41,195670,"exercises/easy/ex2-type-checker.js",209,0,"d",javascript,content
42,195903,"exercises/easy/ex2-type-checker.js",210,0,"e",javascript,content
43,196122,"exercises/easy/ex2-type-checker.js",211,0,"f",javascript,content
44,196840,"exercises/easy/ex2-type-checker.js",212,0," ",javascript,content
45,197155,"exercises/easy/ex2-type-checker.js",213,0,"g",javascript,content
46,197252,"exercises/easy/ex2-type-checker.js",214,0,"e",javascript,content
47,197401,"exercises/easy/ex2-type-checker.js",215,0,"t",javascript,content
48,198518,"exercises/easy/ex2-type-checker.js",216,0,"_",javascript,content
49,199153,"exercises/easy/ex2-type-checker.js",217,0,"T",javascript,content
50,199599,"exercises/easy/ex2-type-checker.js",218,0,"y",javascript,content
50,199599,"exercises/easy/ex2-type-checker.js",218,0,"y",javascript,content
51,199878,"exercises/easy/ex2-type-checker.js",219,0,"p",javascript,content
52,199965,"exercises/easy/ex2-type-checker.js",220,0,"e",javascript,content
53,202951,"exercises/easy/ex2-type-checker.js",220,1,"",javascript,content
54,203136,"exercises/easy/ex2-type-checker.js",219,1,"",javascript,content
55,203278,"exercises/easy/ex2-type-checker.js",218,1,"",javascript,content
56,203466,"exercises/easy/ex2-type-checker.js",217,1,"",javascript,content
57,204253,"exercises/easy/ex2-type-checker.js",217,0,"t",javascript,content
58,204358,"exercises/easy/ex2-type-checker.js",218,0,"y",javascript,content
59,204620,"exercises/easy/ex2-type-checker.js",219,0,"p",javascript,content
60,204742,"exercises/easy/ex2-type-checker.js",220,0,"e",javascript,content
61,205222,"exercises/easy/ex2-type-checker.js",221,0,"*",javascript,content
62,205772,"exercises/easy/ex2-type-checker.js",221,1,"",javascript,content
63,206216,"exercises/easy/ex2-type-checker.js",221,0,"()",javascript,content
64,211257,"exercises/easy/ex2-type-checker.js",221,2,"",javascript,content
65,211748,"exercises/easy/ex2-type-checker.js",220,1,"",javascript,content
66,212371,"exercises/easy/ex2-type-checker.js",219,1,"",javascript,content
67,212416,"exercises/easy/ex2-type-checker.js",218,1,"",javascript,content
68,212462,"exercises/easy/ex2-type-checker.js",217,1,"",javascript,content
69,212489,"exercises/easy/ex2-type-checker.js",216,1,"",javascript,content
70,212546,"exercises/easy/ex2-type-checker.js",215,1,"",javascript,content
71,212578,"exercises/easy/ex2-type-checker.js",214,1,"",javascript,content
72,212602,"exercises/easy/ex2-type-checker.js",213,1,"",javascript,content
73,212687,"exercises/easy/ex2-type-checker.js",212,1,"",javascript,content
74,212695,"exercises/easy/ex2-type-checker.js",211,1,"",javascript,content
75,212939,"exercises/easy/ex2-type-checker.js",210,1,"",javascript,content
76,213122,"exercises/easy/ex2-type-checker.js",209,1,"",javascript,content
77,214930,"exercises/easy/ex2-type-checker.js",207,0,"\n",javascript,content
78,216002,"exercises/easy/ex2-type-checker.js",207,0,"d",javascript,content
79,216266,"exercises/easy/ex2-type-checker.js",208,0,"e",javascript,content
80,216445,"exercises/easy/ex2-type-checker.js",209,0,"f",javascript,content
81,216742,"exercises/easy/ex2-type-checker.js",210,0," ",javascript,content
82,218744,"exercises/easy/ex2-type-checker.js",211,0,"g",javascript,content
83,218883,"exercises/easy/ex2-type-checker.js",212,0,"e",javascript,content
84,219068,"exercises/easy/ex2-type-checker.js",213,0,"t",javascript,content
85,219913,"exercises/easy/ex2-type-checker.js",214,0,"_",javascript,content
86,220152,"exercises/easy/ex2-type-checker.js",215,0,"t",javascript,content
87,220348,"exercises/easy/ex2-type-checker.js",216,0,"y",javascript,content
88,220548,"exercises/easy/ex2-type-checker.js",217,0,"p",javascript,content
89,220684,"exercises/easy/ex2-type-checker.js",218,0,"e",javascript,content
90,221477,"exercises/easy/ex2-type-checker.js",219,0,"()",javascript,content
91,222536,"exercises/easy/ex2-type-checker.js",220,0,"v",javascript,content
92,222717,"exercises/easy/ex2-type-checker.js",221,0,"a",javascript,content
93,222961,"exercises/easy/ex2-type-checker.js",222,0,"r",javascript,content
94,223253,"exercises/easy/ex2-type-checker.js",223,0,"a",javascript,content
95,223405,"exercises/easy/ex2-type-checker.js",224,0,"i",javascript,content
96,223638,"exercises/easy/ex2-type-checker.js",225,0,"b",javascript,content
